run,step,split,layer,metric,value
p5_smoke_n16_j3349138,80,train,10,margin_p10,1
p5_smoke_n16_j3349138,80,train,11,margin_p10,1
p5_smoke_n16_j3349138,80,train,12,margin_p10,1
p5_smoke_n16_j3349138,80,train,13,margin_p10,1
p5_smoke_n16_j3349138,80,train,14,margin_p10,1
p5_smoke_n16_j3349138,80,train,15,margin_p10,1
p5_smoke_n16_j3349138,80,train,-1,mutual_information,0.16827306151390076
p5_smoke_n16_j3349138,80,heldout,-1,effective_experts,2.227496385574341
p5_smoke_n16_j3349138,80,train,-1,entropy_conditional,0.019629528746008873
p5_smoke_n16_j3349138,80,train,0,margin_mean,0.7937785387039185
p5_smoke_n16_j3349138,80,train,1,margin_mean,0.8255705237388611
p5_smoke_n16_j3349138,80,train,2,margin_mean,0.9606671333312988
p5_smoke_n16_j3349138,80,train,3,margin_mean,0.9755610227584839
